,agg_y_rate,type,preds_dec,set,subject
0,11,1,2.9607122e-07,train,0
1,11,2,7.0094865e-07,train,0
2,11,3,1.3213673e-10,train,0
3,11,4,8.479915e-11,train,0
4,11,5,6.868609e-11,train,0
5,12,1,0.0019855178,train,0
6,12,2,0.00394368,train,0
7,12,3,7.4155746e-06,train,0
8,12,4,1.3354205e-05,train,0
9,12,5,0.000107840555,train,0
10,13,1,0.025251241,train,0
11,13,2,0.041819327,train,0
12,13,3,0.014524116,train,0
13,13,4,0.012429212,train,0
14,13,5,0.012845228,train,0
15,14,1,0.96531004,train,0
16,14,2,0.97172856,train,0
17,14,3,0.98630345,train,0
18,14,4,0.9858766,train,0
19,14,5,0.9803374,train,0
20,15,1,0.9989148,train,0
21,15,2,0.9952019,train,0
22,15,3,0.99849135,train,0
23,15,4,0.9993018,train,0
24,15,5,0.9998473,train,0
25,16,1,0.99999994,train,0
26,16,2,0.9999975,train,0
27,16,3,0.99999994,train,0
28,16,4,0.9999999,train,0
29,11,1,6.5563086e-08,test,0
30,11,2,4.3772197e-05,test,0
31,11,3,7.4271915e-11,test,0
32,11,4,2.8594924e-10,test,0
33,11,5,3.5097487e-11,test,0
34,12,1,0.004792629,test,0
35,12,2,0.0074639353,test,0
36,12,3,2.8797585e-05,test,0
37,12,4,3.6014946e-05,test,0
38,12,5,0.0007766395,test,0
39,13,1,0.084799804,test,0
40,13,2,0.08624549,test,0
41,13,3,0.043300804,test,0
42,13,4,0.025084164,test,0
43,13,5,0.02294219,test,0
44,14,1,0.8839508,test,0
45,14,2,0.91193193,test,0
46,14,3,0.96605176,test,0
47,14,4,0.97196114,test,0
48,14,5,0.9679108,test,0
49,15,1,0.9955176,test,0
50,15,2,0.991722,test,0
51,15,3,0.99931633,test,0
52,15,4,0.99673796,test,0
53,15,5,0.999699,test,0
54,16,1,1.0,test,0
55,16,2,0.99997413,test,0
56,16,3,0.9999995,test,0
57,16,4,0.99999994,test,0
58,11,1,8.607264e-06,train,1
59,11,2,3.277502e-05,train,1
60,11,3,1.6097488e-07,train,1
61,11,4,2.3106966e-06,train,1
62,11,5,2.2235072e-06,train,1
63,12,1,9.90922e-05,train,1
64,12,2,0.0063762055,train,1
65,12,3,0.00052601437,train,1
66,12,4,0.00061484193,train,1
67,12,5,8.329613e-05,train,1
68,13,1,0.009838062,train,1
69,13,2,0.022961065,train,1
70,13,3,0.009144315,train,1
71,13,4,0.00706936,train,1
72,13,5,0.0070250873,train,1
73,14,1,0.97131926,train,1
74,14,2,0.96976674,train,1
75,14,3,0.9849679,train,1
76,14,4,0.9753488,train,1
77,14,5,0.97563004,train,1
78,15,1,0.99337155,train,1
79,15,2,0.9960789,train,1
80,15,3,0.99788266,train,1
81,15,4,0.9984204,train,1
82,15,5,0.9975879,train,1
83,16,1,0.9999991,train,1
84,16,2,0.9999924,train,1
85,16,3,0.9999987,train,1
86,16,4,0.9999806,train,1
87,11,1,0.0001537567,test,1
88,11,2,2.0173486e-05,test,1
89,11,3,2.0600265e-07,test,1
90,11,4,1.0514697e-06,test,1
91,11,5,3.2904492e-05,test,1
92,12,1,0.0020194163,test,1
93,12,2,0.0053344127,test,1
94,12,3,0.00484835,test,1
95,12,4,1.381953e-05,test,1
96,12,5,0.00019410644,test,1
97,13,1,0.026486974,test,1
98,13,2,0.07392552,test,1
99,13,3,0.0330842,test,1
100,13,4,0.009687147,test,1
101,13,5,0.012688782,test,1
102,14,1,0.91107607,test,1
103,14,2,0.9244927,test,1
104,14,3,0.9553689,test,1
105,14,4,0.9488841,test,1
106,14,5,0.95217806,test,1
107,15,1,0.98198044,test,1
108,15,2,0.991027,test,1
109,15,3,0.9919313,test,1
110,15,4,0.9936964,test,1
111,15,5,0.99422663,test,1
112,16,1,0.99968237,test,1
113,16,2,0.9999997,test,1
114,16,3,0.9994546,test,1
115,16,4,0.9998452,test,1
116,11,1,0.00016929083,train,2
117,11,2,0.00013148447,train,2
118,11,3,2.2064664e-06,train,2
119,11,4,2.6875778e-05,train,2
120,11,5,2.0600028e-05,train,2
121,12,1,0.008051355,train,2
122,12,2,0.0059686946,train,2
123,12,3,0.00038970198,train,2
124,12,4,0.00026732817,train,2
125,12,5,0.0014249892,train,2
126,13,1,0.05290539,train,2
127,13,2,0.04928538,train,2
128,13,3,0.03119079,train,2
129,13,4,0.022905326,train,2
130,13,5,0.02591794,train,2
131,14,1,0.97836834,train,2
132,14,2,0.98591655,train,2
133,14,3,0.9913349,train,2
134,14,4,0.9834465,train,2
135,14,5,0.9890622,train,2
136,15,1,0.9988462,train,2
137,15,2,0.99940825,train,2
138,15,3,0.997729,train,2
139,15,4,0.99884,train,2
140,15,5,0.9998931,train,2
141,16,1,0.99997646,train,2
142,16,2,1.0,train,2
143,16,3,0.9999999,train,2
144,16,4,1.0,train,2
145,11,1,0.001743249,test,2
146,11,2,0.00017057752,test,2
147,11,3,4.848031e-06,test,2
148,11,4,2.1948313e-06,test,2
149,11,5,1.686117e-05,test,2
150,12,1,0.012905166,test,2
151,12,2,0.011345452,test,2
152,12,3,0.0011953077,test,2
153,12,4,0.00014837617,test,2
154,12,5,0.0023883688,test,2
155,13,1,0.103427835,test,2
156,13,2,0.08838192,test,2
157,13,3,0.058909453,test,2
158,13,4,0.02846786,test,2
159,13,5,0.038892202,test,2
160,14,1,0.95204496,test,2
161,14,2,0.9690526,test,2
162,14,3,0.9818213,test,2
163,14,4,0.9761347,test,2
164,14,5,0.97609156,test,2
165,15,1,0.9891194,test,2
166,15,2,0.9969421,test,2
167,15,3,0.99483323,test,2
168,15,4,0.9977132,test,2
169,15,5,0.9998604,test,2
170,16,1,0.99999,test,2
171,16,2,0.99999994,test,2
172,16,3,0.99999535,test,2
173,16,4,1.0,test,2
